"Posting ID","Month","Ring","Sphere","RAG","First Draft Due","Second Draft Due","Posting Date","Comment","Posting Time Range","Instant Or Scheduled","Manager Approval","Posting Manager","Content","Assigned To","Post Type","Series","Title","Content Detail","Platform","Content Type","Live Sessions","Target Region","Target Language"
"110","May","72D Social Media","CANNES","FALSE","2019-05-31","","","","10","0","0","0","Women's Movement","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"109","May","72D Social Media","CANNES","FALSE","2019-05-30","","","","10","0","0","0","Country Coverage","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"108","May","72D Social Media","CANNES","FALSE","2019-05-29","","","","10","0","0","0","Market Participants","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"107","May","72D Social Media","CANNES","FALSE","2019-05-28","","","","10","0","0","0","The Festival","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"106","May","72D Social Media","CANNES","FALSE","2019-05-27","","","","10","0","0","0","Fashion At Cannes","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"105","May","72D Social Media","CANNES","FALSE","2019-05-26","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"104","May","72D Social Media","CANNES","FALSE","2019-05-26","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"103","May","72D Social Media","CANNES","FALSE","2019-05-26","","","","10","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"102","May","72D Social Media","CANNES","FALSE","2019-05-26","","","","10","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"101","May","72D Social Media","CANNES","FALSE","2019-05-26","","","","10","0","0","0","Films At Cannes","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"100","May","72D Social Media","CANNES","FALSE","2019-05-25","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"99","May","72D Social Media","CANNES","FALSE","2019-05-25","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"98","May","72D Social Media","CANNES","FALSE","2019-05-25","","","","10","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"97","May","72D Social Media","CANNES","FALSE","2019-05-25","","","","10","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"96","May","72D Social Media","CANNES","FALSE","2019-05-25","","","","10","0","0","0","Country Coverage","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"95","May","72D Social Media","CANNES","FALSE","2019-05-24","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"94","May","72D Social Media","CANNES","FALSE","2019-05-24","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
