MONTH,RING,Sphere,RAG Status,1st Draft Due,2nd Draft Due,Post / Pub Date,COMMENT,Time ,Instant or scheduled,Manager Approval ,Posting Manager,Content,Assigned,Type,Series,Content/Title,Content Detail,Platform,Content Type,Live Sessions,Target region,Target Language
Mar,72D Media,Hinly SM,Green,03-Mar,05-Mar,09-Mar,Waiting for Posting to Media Site from David,10AM - 2PM EST,Scheduled,TRUE,TRUE,Travel,Hinly,Entertainment,Hollywood North,Content,800 word article and photos,IG + FB,ARTICLE + PHOTO,NA,Global,English
Mar,72D Social Media,Hannah SM,Green,2019-03-11,,,Waiting for posting from Hinly,10AM - 2PM EST,Scheduled,TRUE,FALSE,Film Locations,Hannah,Entertainment,Connexion Francais,Content,Brief teaser for the web series,IG + FB,TEASER,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-13,,,,10AM - 2PM EST,Scheduled,TRUE,FALSE,Facts,Hannah,Entertainment,Connexion Francais,Content,Fun fact about France/the French film industry,IG + FB,PHOTO,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-11,,,,10AM - 2PM EST,Scheduled,TRUE,FALSE,Film Locations,Hannah,Entertainment,Connexion Francais,Content,Weird/funny France-isms,IG + FB,PHOTO,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-13,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Facts,Hannah,Entertainment,Connexion Francais,Content,Article summary/hype,IG + FB,TEASER,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-15,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Behind the Scenes,Hannah,Entertainment,Connexion Francais,Content,Article summary/hype,IG + FB,TEASER,NA,Global,English
Mar,72D Social Media,CANNES,FALSE,2019-03-16,,,,,Scheduled,FALSE,FALSE,Cannes Promo,Susan,Entertainment,Road to Cannes,Content,"Alejandro G. Iñárritu, first Mexican President",IG + FB,Video and Photo,NA,Global,English
Mar,72D Social Media,Hannah SM,TRUE,09-Mar,12-Mar,16-Mar,,10AM - 2PM EST,Scheduled,TRUE,FALSE,News Article,Hannah,Entertainment,Connexion Francais,Content,"Most controversial films to debut at Cannes, list/slideshow",IG + FB,TEASER,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-18,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Film Locations,Hannah,Entertainment,Connexion Francais,Content,Clip/image from a classic French film or television show,IG + FB,VIDEO,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-20,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Facts,Hannah,Entertainment,Connexion Francais,Content,Making and/or eating a classic French dish,IG + FB,Photo,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-22,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Behind the Scenes,Hannah,Entertainment,Connexion Francais,Content,Question and answer session on Instagram live,IG + FB,Video,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-23,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,News Article,Hannah,Entertainment,Connexion Francais,Content,Brief snapshot on a French filmmaker or production company,IG + FB,Blog,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-25,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Film Locations,Hannah,Entertainment,Connexion Francais,Content,Fun fact about France/the French film industry,IG + FB,Photo,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-27,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Facts,Hannah,Entertainment,Connexion Francais,Content,Weird/funny France-isms,IG + FB,Photo,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-29,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Behind the Scenes,Hannah,Entertainment,Connexion Francais,Content,Article summary/hype,IG + FB,Teaser,NA,Global,English
Mar,72D Media,Hinly SM,FALSE,30-Mar,02-Apr,06-Apr,,,Scheduled,FALSE,FALSE,News Article,Hinly,Entertainment,Hollywood North,Content,800 word article and photos,IG + FB,Articles and photos,NA,Global,English
Mar,72D Social Media,Hannah SM,FALSE,2019-03-30,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,News Article,Hannah,Entertainment,Connexion Francais,Content,Clip/image from a classic French film or television show,IG + FB,Video,NA,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-01,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Film Locations,Hannah,Entertainment,Connexion Francais,Content,Fun fact about France/the French film industry,IG + FB,Photo,FB LIVE,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-03,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Facts,Hannah,Entertainment,Connexion Francais,Content,Weird/funny France-isms,IG + FB,Photo,NA,Global,English
